building_id,site_id,primaryspaceusage,sqm,yearbuilt,lat,lng
Panther_lodging_Dean,Panther,Lodging/residential,508.8,1989.0,28.5176885788321,-81.3790387999998
Panther_lodging_Shelia,Panther,Lodging/residential,929.0,1992.0,28.5176885788321,-81.3790387999998
Panther_lodging_Ricky,Panther,Lodging/residential,483.1,2016.0,28.5176885788321,-81.3790387999998
Panther_education_Rosalie,Panther,Education,690.5,2008.0,28.5176885788321,-81.3790387999998
Panther_education_Misty,Panther,Education,252.7,2004.0,28.5176885788321,-81.3790387999998
Panther_office_Daina,Panther,Office,133.8,1983.0,28.5176885788321,-81.3790387999998
Panther_education_Mattie,Panther,Education,499.4,1991.0,28.5176885788321,-81.3790387999998
Panther_office_Woodrow,Panther,Office,537.8,1996.0,28.5176885788321,-81.3790387999998
Panther_education_Diann,Panther,Education,2200.4,2002.0,28.5176885788321,-81.3790387999998
Panther_education_Gina,Panther,Education,10833.1,1975.0,28.5176885788321,-81.3790387999998
Panther_education_Tina,Panther,Education,743.2,2000.0,28.5176885788321,-81.3790387999998
Panther_lodging_Russell,Panther,Lodging/residential,2594.4,1981.0,28.5176885788321,-81.3790387999998
Panther_education_Guillermina,Panther,Education,2064.3,2002.0,28.5176885788321,-81.3790387999998
Panther_lodging_Amos,Panther,Lodging/residential,1337.2,1997.0,28.5176885788321,-81.3790387999998
Panther_education_Vincent,Panther,Education,11248.1,1989.0,28.5176885788321,-81.3790387999998
Panther_education_Shelton,Panther,Education,5649.3,2003.0,28.5176885788321,-81.3790387999998
Panther_office_Karla,Panther,Office,2508.4,2010.0,28.5176885788321,-81.3790387999998
Panther_assembly_Denice,Panther,Entertainment/public assembly,34445.9,1991.0,28.5176885788321,-81.3790387999998
Panther_education_Sophia,Panther,Education,4559.0,1968.0,28.5176885788321,-81.3790387999998
Panther_lodging_Bonnie,Panther,Lodging/residential,1290.4,2013.0,28.5176885788321,-81.3790387999998
Panther_lodging_Willa,Panther,Lodging/residential,3446.7,1999.0,28.5176885788321,-81.3790387999998
Panther_education_Annetta,Panther,Education,9232.7,2000.0,28.5176885788321,-81.3790387999998
Panther_education_Aurora,Panther,Education,8012.9,2013.0,28.5176885788321,-81.3790387999998
Panther_office_Graham,Panther,Office,7799.9,1974.0,28.5176885788321,-81.3790387999998
Panther_education_Karri,Panther,Education,5076.6,1996.0,28.5176885788321,-81.3790387999998
Panther_office_Valarie,Panther,Office,1416.8,1980.0,28.5176885788321,-81.3790387999998
Panther_education_Richard,Panther,Education,534.3,1976.0,28.5176885788321,-81.3790387999998
Panther_education_Hugh,Panther,Education,10395.0,1996.0,28.5176885788321,-81.3790387999998
Panther_lodging_Arlene,Panther,Lodging/residential,879.8,1988.0,28.5176885788321,-81.3790387999998
Panther_office_Larry,Panther,Office,1738.9,2004.0,28.5176885788321,-81.3790387999998
Panther_education_Lacey,Panther,Education,337.0,1995.0,28.5176885788321,-81.3790387999998
Panther_education_Mohammad,Panther,Education,10244.6,1977.0,28.5176885788321,-81.3790387999998
Panther_office_Jeane,Panther,Office,654.3,1990.0,28.5176885788321,-81.3790387999998
Panther_education_Jonathan,Panther,Education,331.6,1996.0,28.5176885788321,-81.3790387999998
Panther_education_Genevieve,Panther,Education,12159.6,1985.0,28.5176885788321,-81.3790387999998
Panther_education_Alecia,Panther,Education,9805.4,2001.0,28.5176885788321,-81.3790387999998
Panther_office_Jesus,Panther,Office,9595.6,1969.0,28.5176885788321,-81.3790387999998
Panther_office_Catherine,Panther,Office,2504.0,2005.0,28.5176885788321,-81.3790387999998
Panther_lodging_Awilda,Panther,Lodging/residential,5499.9,1999.0,28.5176885788321,-81.3790387999998
Panther_lodging_Aaron,Panther,Lodging/residential,526.0,2013.0,28.5176885788321,-81.3790387999998
Panther_office_Garth,Panther,Office,4919.9,2016.0,28.5176885788321,-81.3790387999998
Panther_education_Quintin,Panther,Education,10578.5,2006.0,28.5176885788321,-81.3790387999998
